Hour of year,Demand (MW),Demand (MW)-90%fromHydro
1,26065.8,23459.22
2,25944.3,23349.87
3,25414.1,22872.69
4,25271.4,22744.26
5,25413.1,22871.79
6,25741.4,23167.26
7,26330.3,23697.27
8,27308.2,24577.38
9,27572.4,24815.16
10,28307.1,25476.39
11,28956,26060.4
12,28778,25900.2
13,28595.3,25735.77
14,28331.6,25498.44
15,27942.9,25148.61
16,28080.7,25272.63
17,28879.9,25991.91
18,29407.2,26466.48
19,29154.4,26238.96
20,28456.3,25610.67
21,28190.6,25371.54
22,27602.7,24842.43
23,26457.6,23811.84
24,25854.6,23269.14
25,25241.7,22717.53
26,24983.8,22485.42
27,24775.3,22297.77
28,24890.9,22401.81
29,25197.2,22677.48
30,25515.3,22963.77
31,26077.9,23470.11
32,26177.2,23559.48
33,26364.9,23728.41
34,27228,24505.2
35,28016.9,25215.21
36,28159.6,25343.64
37,27702.6,24932.34
38,27472.7,24725.43
39,27600.8,24840.72
40,28219.1,25397.19
41,30367.7,27330.93
42,31466.3,28319.67
43,31538.5,28384.65
44,30983.5,27885.15
45,30427.1,27384.39
46,29566.9,26610.21
47,28875,25987.5
48,27866.4,25079.76
49,27790.9,25011.81
50,27588.4,24829.56
51,27731.7,24958.53
52,28085.7,25277.13
53,28853.4,25968.06
54,30244.7,27220.23
55,31841.3,28657.17
56,33048,29743.2
57,33715.3,30343.77
58,33963.6,30567.24
59,33386.4,30047.76
60,34169.7,30752.73
61,33651.2,30286.08
62,33337.7,30003.93
63,33759.2,30383.28
64,35027.5,31524.75
65,37310.9,33579.81
66,38156.8,34341.12
67,37550.7,33795.63
68,37446.5,33701.85
69,36705.7,33035.13
70,36100.5,32490.45
71,35406.1,31865.49
72,32713,29441.7
73,32839,29555.1
74,33111.5,29800.35
75,33493.9,30144.51
76,33089.3,29780.37
77,33653.8,30288.42
78,34809.8,31328.82
79,36552.7,32897.43
80,37745,33970.5
81,37981.3,34183.17
82,37599.5,33839.55
83,36997.3,33297.57
84,37072.2,33364.98
85,36985.9,33287.31
86,37133.1,33419.79
87,37101.6,33391.44
88,37039.7,33335.73
89,37359.6,33623.64
90,38220.5,34398.45
91,37664.6,33898.14
92,36898.5,33208.65
93,35639,32075.1
94,35018.1,31516.29
95,33394.5,30055.05
96,31624,28461.6
97,30883.7,27795.33
98,30355,27319.5
99,30383.1,27344.79
100,29564.4,26607.96
101,29527.9,26575.11
102,31022.6,27920.34
103,33062.2,29755.98
104,34206.8,30786.12
105,33955.1,30559.59
106,32605.5,29344.95
107,32038.2,28834.38
108,31646.9,28482.21
109,30938.3,27844.47
110,30764.7,27688.23
111,30894.3,27804.87
112,31987.4,28788.66
113,34268.8,30841.92
114,35702.5,32132.25
115,35550.4,31995.36
116,35430,31887
117,34848.4,31363.56
118,33979.5,30581.55
119,32813.9,29532.51
120,30936.3,27842.67
121,30119.2,27107.28
122,29893,26903.7
123,29905.5,26914.95
124,30138.7,27124.83
125,30688.7,27619.83
126,32042.3,28838.07
127,33708.5,30337.65
128,36521.3,32869.17
129,36557.7,32901.93
130,37117.6,33405.84
131,36802.4,33122.16
132,37168.9,33452.01
133,36710.2,33039.18
134,36574.2,32916.78
135,35413.2,31871.88
136,36082.2,32473.98
137,36880.2,33192.18
138,37124.3,33411.87
139,36740.4,33066.36
140,35825.7,32243.13
141,34909.5,31418.55
142,34006.2,30605.58
143,33064.9,29758.41
144,30849.6,27764.64
145,29950,26955
146,29339.1,26405.19
147,29131.4,26218.26
148,28981.7,26083.53
149,29049,26144.1
150,29564.8,26608.32
151,30543.5,27489.15
152,31157,28041.3
153,32152.9,28937.61
154,32524,29271.6
155,32846.8,29562.12
156,33378.5,30040.65
157,32580.6,29322.54
158,32094,28884.6
159,31500.1,28350.09
160,31039.7,27935.73
161,31622.3,28460.07
162,32724.5,29452.05
163,32002.4,28802.16
164,31265.6,28139.04
165,30513.7,27462.33
166,29903.1,26912.79
167,28681.4,25813.26
168,27948.2,25153.38
169,26730.4,24057.36
170,26472.8,23825.52
171,26327.5,23694.75
172,26382.4,23744.16
173,26693,24023.7
174,27546.8,24792.12
175,28544.8,25690.32
176,29510.7,26559.63
177,30375.3,27337.77
178,31233.4,28110.06
179,31090.8,27981.72
180,30903.1,27812.79
181,30585.7,27527.13
182,29992.7,26993.43
183,29925.5,26932.95
184,30009.4,27008.46
185,32616.9,29355.21
186,34162.5,30746.25
187,34059.9,30653.91
188,33586.1,30227.49
189,32908,29617.2
190,32511.4,29260.26
191,31053.1,27947.79
192,29740.4,26766.36
193,29642.4,26678.16
194,29902.7,26912.43
195,29718.3,26746.47
196,30146.1,27131.49
197,30271.7,27244.53
198,32404.4,29163.96
199,34053.9,30648.51
200,36433.5,32790.15
201,36273.7,32646.33
202,35933.9,32340.51
203,35622.2,32059.98
204,35092.7,31583.43
205,34429,30986.1
206,33881,30492.9
207,32939,29645.1
208,33439.4,30095.46
209,34845.5,31360.95
210,36717.1,33045.39
211,35865.9,32279.31
212,35141.4,31627.26
213,34096.8,30687.12
214,33006.1,29705.49
215,31463.2,28316.88
216,28887.8,25999.02
217,27930.9,25137.81
218,27515.6,24764.04
219,27154.2,24438.78
220,27035.8,24332.22
221,27013.4,24312.06
222,28143.9,25329.51
223,30507.3,27456.57
