Power_network_size,cluster_method,Base_Year,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,2004,5,4,ME,0.9,0.5,TRUE,TRUE,FALSE,no-metal-air,0.645362676,35.62191963,61237706940,8480259696,5256312316,123200000,2443673600,269910264.6,0,32435529.21,62195200,0,253046223.6,0,0,71922091.53,0,315428.0822,0,8954.213152,4631.480827,17,0,0,0,4835329.8,52757447244,694196320.1,4995321869,0,505800000,45353720493,1134656561,59532000,14220000,6434571.918,12,16,21,4.54E+06,249766093.5,5951473.249,1539170.792,Production:,684077.3849,703022.7416,4214437.457,26017200,0,30836375.42,56154000.29,0,28108232.59,37890725.36,42138074.34,0,established:,0,0,0,0,0,60,12,0,2143,875,916,0,decommissioned:,6,0,2,0,4,0,0,0,0,0,0,0
17,joint_CF_with_extreme_days,2004,5,4,HE,0.9,0.5,TRUE,TRUE,FALSE,no-metal-air,0.551918549,67.54090357,28864549613,8875053754,5546109404,120500000,2586462600,323581854.8,0,45088806.38,96950596.25,0,129527207.9,0,0,71922091.53,0,438478.3006,0,4311.178608,2595.772598,17,0,0,0,4835329.8,19989495858,694134521.7,3442914278,0,505800000,14049318910,1220078149,63030000,14220000,6311521.699,12,18,21,1.40E+06,172145713.9,8273175.483,512039.8063,Production:,950939.7107,703022.7416,4547709.341,26017200,0,42559963.16,53013670.22,0,28107553.65,37587599.56,51292524.99,0,established:,0,0,0,0,0,59,11,0,2143,868,1115,0,decommissioned:,1,0,0,0,4,0,0,0,0,0,0,0
17,joint_CF_with_extreme_days,2004,5,4,HE,0.8,0.5,True,True,False,no-metal-air,0.09038594419213464,67.60898208618164,26970835274.06923,8887798394.605585,5596520067.344913,123000000.0,2587598600.0,324433043.96607286,0.0,41968826.082193665,97099367.43432361,0.0,87225224.33250125,0.0,0.0,71922091.52777812,0.0,408137.2077717949,0,2747.0215533452365,1877.1366475259556,17,0,0,0,4835329.800000026,18083036879.463646,1388238024.8904767,884294997.6610875,0.0,505800000.0,14049318909.509418,1179784947.4026701,61380000.000000104,14220000.0,13091862.792228203,12,16,21,1404931.890950942,44214749.88305436,7700702.033430129,507544.32037709403,Production:,885138.1647620788,703022.7415558003,4547709.340675801,26017200.0,0.0,43002372.42512064,52497745.5083296,0.0,28095116.292179998,37587599.55533687,51338527.2559908,0.0,established:,0.0,0.0,0.0,0.0,0.0,62.0,11.0,0.0,2142.0,868.0,1116.0,0.0,decommissioned:,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,5,4,HE,0.8,0.5,True,True,False,no-metal-air,0.09038594419213464,65.97861218452454,26970835274.06923,8887798394.605585,5596520067.344913,123000000.0,2587598600.0,324433043.96607286,0.0,41968826.082193665,97099367.43432361,0.0,87225224.33250125,0.0,0.0,71922091.52777812,0.0,408137.2077717949,0,2747.0215533452365,1877.1366475259556,17,0,0,0,4835329.800000026,18083036879.463646,1388238024.8904767,884294997.6610875,0.0,505800000.0,14049318909.509418,1179784947.4026701,61380000.000000104,14220000.0,13091862.792228203,12,16,21,1404931.890950942,44214749.88305436,7700702.033430129,507544.32037709403,Production:,885138.1647620788,703022.7415558003,4547709.340675801,26017200.0,0.0,43002372.42512064,52497745.5083296,0.0,28095116.292179998,37587599.55533687,51338527.2559908,0.0,established:,0.0,0.0,0.0,0.0,0.0,62.0,11.0,0.0,2142.0,868.0,1116.0,0.0,decommissioned:,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,5,4,HE,0.8,0.5,True,True,False,no-metal-air,66.79735050933414,143.02603435516357,36468922726.854324,8950933738.289494,5639363989.944402,123000000.0,2603054600.0,324570880.86965674,0.0,42189251.29539276,96952621.2539503,0.0,92061085.86314958,0.0,0.0,71922091.52777812,8468.830590405656,410280.792413913,0,2926.3409179537457,1958.8688771914021,17,0,0,0,4835329.800000026,27517988988.564835,1388358982.2970831,864483905.1252408,0.0,505800000.0,24359315109.904312,349744991.23822254,43296000.0,6990000.0,13089719.207586084,6,9,22,2435931.51099043,43224195.25626202,7741147.02667753,2480672.2668705545,Production:,889787.0145606434,703022.7415558003,4547709.340675801,26017200.0,0.0,42788172.666666195,52585534.26263764,168335.65637456017,28108232.592970178,37587599.555337004,51292524.991424836,0.0,established:,0.0,0.0,0.0,0.0,0.0,60.0,11.0,1.0,2143.0,868.0,1115.0,0.0,decommissioned:,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,5,4,HE,0.8,0.5,True,True,False,no-metal-air,45.77877108367131,140.43745040893555,62101700048.4953,9072908529.02191,5639363989.944402,123000000.0,2603054600.0,322254958.3620371,0.0,32767443.089404866,62195199.824258834,0.0,251114144.70365748,0.0,0.0,71922091.52777812,3544.6597804680414,318655.8685758633,0,8805.066672101875,4662.896611861888,17,0,0,0,4835329.800000026,53028791519.47339,1388378244.9336896,778376226.1150227,0.0,505800000.0,50125433136.13849,190183912.2862224,31020000.000000004,9599999.999999998,13181344.131424135,4,14,17,5012543.31361385,38918811.30575114,6012374.878789837,2801574.3653556346,Production:,691077.5722746983,703022.7415558026,4547709.340675801,26017200.0,0.0,42223904.34779633,53667737.950344905,57428.81016536126,28107553.653439995,37587599.55533687,51292524.99142475,0.0,established:,0.0,0.0,0.0,0.0,0.0,60.0,11.0,1.0,2143.0,868.0,1115.0,0.0,decommissioned:,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,2,4,HE,0.8,0.5,True,True,False,no-metal-air,0.7871223857585152,23.35793709754944,32560202896.968716,7817153986.417134,4819803489.692541,140100000.0,2164859600.0,276604705.8590286,0.0,0.0,0.0,0.0,343864099.33779263,0.0,0.0,71922091.52777812,0.0,0.0,0,12331.385284006996,6158.532405564149,17,0,0,0,1934131.9199999855,24743048910.551582,1388258143.1209838,715443878.3667415,0.0,505800000.0,21467858222.379433,612456666.684445,39732000.0,13500000.0,13499999.999999996,6,15,16,2146785.8222379433,35772193.91833707,0.0,842605.0362685164,Production:,0.0,1028733.2064035997,2669514.6016635485,26017200.0,0.0,42409063.95771516,32279693.035226386,0.0,41269056.346190915,23217728.586103134,31312476.321280003,0.0,established:,0.0,0.0,0.0,0.0,0.0,74.0,7.0,0.0,2143.0,873.0,680.0,0.0,decommissioned:,40.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,2,4,HE,0.8,0.5,True,True,False,no-metal-air,6.219572084814275,133.26954174041748,11568565362.906618,7817147640.785812,4819803489.692541,140100000.0,2164859600.0,276603179.5013416,0.0,0.0,0.0,0.0,343859280.06415397,0.0,0.0,71922091.52777812,0.0,0.0,0,12331.184438285418,6158.46925770659,17,0,0,0,1934131.9199999855,3751417722.1208057,1388241890.4373074,758379594.8115003,0.0,505800000.0,0.0,1029894236.8720008,54582000.0,14520000.0,13499999.999999996,9,16,18,0.0,37918979.740575016,0.0,571285.8751221087,Production:,0.0,1028733.2064035997,2669514.601663548,26017200.0,0.0,42408897.33431923,32279346.414872706,0.0,41269549.25559,23217728.586103134,31312476.321280003,0.0,established:,0.0,0.0,0.0,0.0,0.0,74.0,7.0,0.0,2143.0,873.0,680.0,0.0,decommissioned:,40.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2011,3,4,ME,0.85,0.5,True,True,False,no-metal-air,0.9253984100855798,145.50697326660156,13064097799.299639,7877376699.683617,4911688429.321524,155800000.0,2240895600.0,392610317.0125639,0.0,0.0,0.0,0.0,104460261.8217516,0.0,0.0,71922091.52777812,0.0,0.0,0,3215.6310276390323,2309.3688268820633,17,0,0,0,2901197.879999982,5186721099.616022,1041202253.997125,3229686029.818897,0.0,505800000.0,0.0,362638815.8000003,37554000.0,9840000.0,10125000.000000002,6,12,19,0.0,161484301.49094468,0.0,775519.4774416283,Production:,0.0,561977.6844777996,2262194.9238025057,25778420.853155725,0.0,66334182.12797685,30469703.186339844,0.0,0.0,46537706.343190454,73073913.55746078,0.0,established:,0.0,0.0,0.0,0.0,0.0,101.0,7.0,0.0,0.0,953.0,1153.0,0.0,decommissioned:,68.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2011,3,4,HX,0.8,0.5,True,True,False,no-metal-air,0.8727252365543975,286.7008709907532,10672903727.518105,8135018638.647618,5107984014.450028,155800000.0,2313277600.0,390729870.71978325,0.0,0.0,0.0,0.0,95305061.95003729,0.0,0.0,71922091.52777812,0.0,0.0,0,2821.8767834696782,2199.497483438411,17,0,0,0,2901197.879999982,2537885088.870487,1388265597.3023193,294328886.29616714,0.0,505800000.0,0.0,304616605.2720003,34914000.0,9960000.0,13499999.999999996,5,12,18,0.0,14716444.314808352,0.0,966970.1538040048,Production:,0.0,561977.6844777996,2282913.6449875054,25448060.90257042,0.0,63139715.4850527,37515646.64725989,0.0,0.0,46537706.343190454,76623222.61264257,0.0,established:,0.0,0.0,0.0,0.0,0.0,101.0,9.0,0.0,0.0,953.0,1209.0,0.0,decommissioned:,68.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,HX,0.8,0.5,True,True,False,no-metal-air,0.623834921382009,307.3246719837189,11762409732.32829,8912653872.2298,5629092769.29849,152800000.0,2514308600.0,439986674.1759365,0.0,0.0,0.0,0.0,104543737.22762468,0.0,0.0,71922091.52777812,0.0,0.0,0,3203.618982494592,2323.2687416410995,17,0,0,0,2901197.879999982,2849755860.098492,1388215041.6712213,545708002.6272713,0.0,505800000.0,0.0,362638815.8000003,37554000.0,9840000.0,13499999.999999996,6,12,19,0.0,27285400.131363574,0.0,124996.35824637153,Production:,0.0,571571.4731404003,2241260.593302224,24476289.816453986,0.0,73264000.58655933,36833335.62156996,0.0,0.0,46406179.88867802,85116449.57431492,0.0,established:,0.0,0.0,0.0,0.0,0.0,118.0,9.0,0.0,0.0,953.0,1343.0,0.0,decommissioned:,62.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,RF,0.9,0.5,True,True,False,no-metal-air,0.5790890437759997,376.1549425125122,15573029614.718964,6877557600.375599,4184054451.2828584,155800000.0,1968926600.0,353962496.22664,0.0,0.0,0.0,0.0,142891961.33832178,0.0,0.0,71922091.52777812,0.0,0.0,0,4791.283148455115,2834.4478042680994,17,0,0,0,2901197.879999982,8695472014.343365,694122306.2317669,6598334567.736498,0.0,505800000.0,0.0,834875140.3751123,48840000.000000015,13500000.0,6749999.999999998,11,15,21,0.0,329916728.3868259,0.0,308665.3717847822,Production:,0.0,571571.4731404014,2269509.104205584,25648735.68652496,0.0,63882183.59225822,17275789.132674474,0.0,0.0,46537706.343190454,57166818.7014386,0.0,established:,0.0,0.0,0.0,0.0,0.0,93.0,4.0,0.0,0.0,953.0,902.0,0.0,decommissioned:,68.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2011,3,4,ME,0.8,0.5,True,True,False,no-metal-air,0.9056630454782987,391.7799696922302,12178041093.155642,7889331635.213756,4959202172.831676,157800000.0,2244858600.0,383284484.71836746,0.0,0.0,0.0,0.0,72264286.13593689,0.0,0.0,71922091.52777812,0.0,0.0,0,2064.873781755557,1729.579884922067,17,0,0,0,2901197.879999982,4288709457.9418855,1388254140.7895799,1956101124.1585257,0.0,505800000.0,0.0,390038192.9937781,38676000.0,9840000.0,13499999.999999994,6,12,19,0.0,97805056.20792647,0.0,775519.4774409527,Production:,0.0,561977.6844777996,2282913.6449875054,25722243.30732931,0.0,63218374.22410909,33596306.798910975,0.0,0.0,46537706.343190454,73028371.67485681,0.0,established:,0.0,0.0,0.0,0.0,0.0,101.0,8.0,0.0,0.0,953.0,1153.0,0.0,decommissioned:,72.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2011,3,4,HE,0.8,0.5,True,True,False,no-metal-air,0.6982170848608314,402.8327009677887,11707349570.442953,8962496306.873735,5651856816.562308,153849500.0,2524145800.0,466701181.93819857,3.9171072785393334e-10,0.0,0.0,0.0,94020916.84546597,0.0,0.0,71922091.52777812,0.0,0.0,0,2694.084943171794,2244.072664680687,17,0,0,0,2901197.879999982,2744853263.569218,1388210704.6531615,440809743.11606383,0.0,505800000.0,-7.690437326747104e-06,362638815.8000003,37554000.0,9840000.0,13499999.999999996,6,12,19,-7.690438517790458e-10,22040487.1558032,0.0,52658.590585719074,Production:,1.91210066945153e-06,517787.35039879964,2282913.6449875045,24388019.592838824,0.0,79723318.84991372,34042293.84431025,0.0,0.0,46537706.34319049,88603259.7843678,5.2011728257639334e-11,established:,0.0,0.0,0.0,0.0,0.0,116.0,8.0,0.0,0.0,953.0,1400.0,0.0,decommissioned:,64.0,11.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,HE,0.8,0.5,True,True,False,no-metal-air,0.988155737332078,407.275981426239,13285566541.67485,10034070981.27224,6355982128.968712,149800000.0,2795859600.0,556912555.302878,0.0,0.0,0.0,0.0,103594605.47288683,0.0,0.0,71922091.52777812,0.0,0.0,0,3095.802632172823,2367.262282491811,17,0,0,0,2901197.879999982,3251495560.4026103,1388218149.785778,758379594.8114977,0.0,505800000.0,0.0,546375815.8053339,41052000.0,11670000.0,13499999.999999996,9,13,21,0.0,37918979.74057494,0.0,176663.11221026906,Production:,0.0,571571.4731404003,2236775.927370464,23202200.724660754,0.0,101318687.38494712,25159559.189071227,0.0,0.0,46088989.655812286,100492891.02012236,0.0,established:,0.0,0.0,0.0,0.0,0.0,144.0,6.0,0.0,0.0,953.0,1588.0,0.0,decommissioned:,56.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,ME,0.85,0.5,True,True,False,no-metal-air,0.6447919119504857,422.68674969673157,14192363243.0051,8283670838.775755,5168280373.285112,151300000.0,2358138600.0,379007172.3252907,0.0,2.1960368030704562e-06,0.0,0.0,155022601.63757244,0.0,0.0,71922091.52777812,0.0,2.135595423169435e-08,0,5160.4442888242875,3106.149138553981,17,0,0,0,2901197.879999982,5908692404.229346,1041175069.6640396,3693414939.81064,0.0,505800000.0,0.0,614068394.7546673,41514000.0,12720000.0,10124999.99999998,9,14,20,0.0,184670746.99053198,4.029425326734782e-07,323069.295199239,Production:,4.625118420536391e-08,571571.4731404003,2254766.846747185,25465908.75961454,0.0,59155375.2608764,41615148.01045423,0.0,0.0,46537706.343190454,76497062.27565008,0.0,established:,0.0,0.0,0.0,0.0,0.0,102.0,10.0,0.0,0.0,953.0,1207.0,0.0,decommissioned:,59.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,ME,0.9,0.5,True,True,False,no-metal-air,0.39899137382044725,447.93811869621277,15087171737.849651,8285500876.156834,5184679706.399625,152300000.0,2357361600.0,379401003.80237895,0.0,0.0,0.0,0.0,139836474.42705318,0.0,0.0,71922091.52777812,0.0,0.0,0,4573.537366716776,2869.1491385541485,17,0,0,0,2901197.879999982,6801670861.692818,694123182.8715868,4966999845.471008,0.0,505800000.0,0.0,581833833.3502227,40194000.0,12720000.0,6749999.999999998,9,14,20,0.0,248349992.27355087,0.0,323069.29519922746,Production:,0.0,571571.4731404003,2254766.846747224,25465908.75961454,0.0,59310518.81361041,41424204.86716345,0.0,0.0,46537706.343190454,76497062.27565008,0.0,established:,0.0,0.0,0.0,0.0,0.0,103.0,10.0,0.0,0.0,953.0,1207.0,0.0,decommissioned:,61.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,RF,0.95,0.5,True,True,False,no-metal-air,0.6207229577957649,456.4144937992096,16524646333.723814,6874119923.318758,4169463477.063137,155300000.0,1967566600.0,353149968.310572,0.0,0.0,0.0,0.0,156717786.41727138,0.0,0.0,71922091.52777812,0.0,0.0,0,5302.007393467004,3069.736746228094,17,0,0,0,2901197.879999982,9650526410.405056,347070419.43931544,7871919473.396868,0.0,505800000.0,0.0,862274517.5688896,49962000.00000001,13499999.999999996,3375000.000000003,10,15,21,0.0,393595973.6698435,0.0,308665.3717847968,Production:,0.0,571571.4731404003,2282913.6449875054,25686239.66656924,0.0,63666758.948382154,17408086.78433061,0.0,0.0,46537706.343190454,57230196.5492229,0.0,established:,0.0,0.0,0.0,0.0,0.0,92.0,4.0,0.0,0.0,953.0,903.0,0.0,decommissioned:,67.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,HX,0.95,0.5,True,True,False,no-metal-air,0.9869968160201213,461.83339977264404,14570282988.86441,8900629438.964458,5565179692.673827,149800000.0,2511122600.0,448991227.3895344,0.0,2.5057343009393806e-06,0.0,0.0,153613827.37332115,0.0,0.0,71922091.52777812,0.0,2.4367691366933297e-08,0,5049.002683101847,3131.280990921094,17,0,0,0,2901197.879999982,5669653549.899951,347070812.73598903,4366462719.60841,0.0,505800000.0,0.0,402932017.55555594,36168000.0,11220000.0,3374999.9999999786,5,13,18,0.0,218323135.98042047,4.5976776164025074e-07,315078.46764979075,Production:,5.284686915405183e-08,571571.4731404003,2278554.2914352254,24717004.424410734,0.0,76344058.72800073,33635466.87476525,0.0,0.0,46368886.190545045,85116449.57431492,0.0,established:,0.0,0.0,0.0,0.0,0.0,117.0,8.0,0.0,0.0,953.0,1343.0,0.0,decommissioned:,56.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,HX,0.85,0.5,True,True,False,no-metal-air,0.6246356754806837,468.9145767688751,12689173591.10872,8912884712.142303,5616186050.912149,152300000.0,2512408600.0,449857279.1119547,0.0,0.0,0.0,0.0,110210690.59043272,0.0,0.0,71922091.52777812,0.0,0.0,0,3414.333867246896,2418.5699328812816,17,0,0,0,2901197.879999982,3776288878.966418,1041163154.8787677,1819292908.2876506,0.0,505800000.0,0.0,362638815.8000003,37554000.0,9840000.0,10125000.000000002,6,12,19,0.0,90964645.41438241,0.0,124996.35824637154,Production:,0.0,571571.4731404003,2241260.593302224,24561944.6586053,0.0,76594442.69591746,33442532.81618375,0.0,0.0,46461122.04089398,85061507.42209913,0.0,established:,0.0,0.0,0.0,0.0,0.0,120.0,8.0,0.0,0.0,953.0,1344.0,0.0,decommissioned:,61.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,ME,0.8,0.5,True,True,False,no-metal-air,0.43624831105782624,477.7008545398712,13232275662.732735,8283670838.775757,5168280373.285114,151300000.0,2358138600.0,379007172.3252906,0.0,1.8325505817706096e-06,0.0,0.0,155022601.63757515,0.0,0.0,71922091.52777812,0.0,1.4405520266389414e-08,0,5160.444288824361,3106.149138554049,17,0,0,0,2901197.879999982,4948604823.956978,1388226956.4564905,2419830034.1502647,0.0,505800000.0,0.0,581833833.3502228,40194000.0,12720000.0,13499999.999999981,9,14,20,0.0,120991501.7075133,3.3624781316891856e-07,323069.29519923433,Production:,3.124164013530561e-08,571571.4731404003,2257835.5702502257,25465908.75961454,0.0,59155375.26087641,41615148.01045425,0.0,0.0,46537706.343190454,76493993.5521471,0.0,established:,0.0,0.0,0.0,0.0,0.0,102.0,10.0,0.0,0.0,953.0,1207.0,0.0,decommissioned:,59.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,joint_CF_with_extreme_days,2004,3,4,HX,0.9,0.5,True,True,False,no-metal-air,0.5673841672649741,537.6645939350128,13619498073.757248,8916676175.922903,5630777025.131872,153300000.0,2510891600.0,450456936.72564673,0.0,0.0,0.0,0.0,99328522.53761154,0.0,0.0,71922091.52777812,0.0,0.0,0,2903.6096222350016,2323.268741643479,17,0,0,0,2901197.879999982,4702821897.834344,694111268.0863149,3092877813.9480286,0.0,505800000.0,0.0,362638815.8000003,37554000.0,9840000.0,6749999.999999998,6,12,19,0.0,154643890.69740105,0.0,124996.35824637151,Production:,0.0,571571.4731404003,2282913.6449875054,24437158.583105825,0.0,76733283.07494047,33395260.67547227,0.0,0.0,46364526.836992785,85116449.57431492,0.0,established:,0.0,0.0,0.0,0.0,0.0,121.0,8.0,0.0,0.0,953.0,1343.0,0.0,decommissioned:,63.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
