node_id,type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
0,coal,100,28.58,7.4755,8.01688,0.0094525,40,2
0,dfo,97.606,21.72748426,16.471,8.01688,0.01026775,48.8,4
0,ng,1326.954,349.9595764,6.149285714,4.512004286,0.005267143,612.61,7
0,nuclear,1226.313,457.1126794,1,8,0.0019,0,1
0,other,36.34,0,0,0,0,0,1
0,solar,25.222,0,0,0,0,0,6
0,wind,2.284,0,0,0,0,0,1
1,dfo,70.595,18.3497552,16.471,8.01688,0.0070285,35.31,8
1,hydro,37.699,12.66000026,0,0,0,0,5
1,ng,79.978,15.64735748,5.587,4.62809,0.0034585,39.98,2
1,solar,51.639,0,0,0,0,0,10
2,dfo,256.096,75.21396127,16.471,8.01688,0.006707,128.07,13
2,ng,3549.464,1135.905944,6.249086957,4.790918261,0.005180304,1473.28,23
2,other,97.985,0,0,0,0,0,1
2,solar,9.374,0,0,0,0,0,2
2,wind,2.056,0,0,0,0,0,1
3,dfo,159.102,49.19195774,16.471,8.01688,0.00726,79.56,3
3,ng,1618.459,484.6352625,6.053777778,4.827232222,0.006235556,750.55,9
3,solar,33.914,0,0,0,0,0,8
4,dfo,1545.421,511.070735,16.471,8.01688,0.014749,572.32,5
4,ng,283.873,66.97407728,5.97775,4.6722075,0.004776,141.93,4
4,nuclear,617.001,298.4075212,1,8,0.0019,0,1
4,other,64.603,0,0,0,0,0,1
4,solar,114.354,0,0,0,0,0,21
4,wind,7.995,0,0,0,0,0,3
4,wind_offshore,800,0,0,0,0,0,1
5,dfo,16.5,4.98519361,16.471,8.01688,0.0056718,8.25,5
5,hydro,3.5,0.860000018,0,0,0,0,1
5,ng,1779.751,526.0008633,6.810454545,4.779245455,0.005770273,812.5,11
5,other,72.412,0,0,0,0,0,1
5,solar,137.19,0,0,0,0,0,30
5,wind,3.427,0,0,0,0,0,1
6,coal,5.671,1.094443117,3.602,8.01688,0.007512,2.27,1
6,dfo,708.532,209.5666968,16.471,8.01688,0.008595333,354.24,12
6,hydro,1779.653,506.0543391,0,0,0,0,30
6,ng,902.326,211.865032,6.301545455,4.687959091,0.004714364,436.51,11
6,solar,106.828,0,0,0,0,0,26
6,wind,55.685,0,0,0,0,0,3
7,dfo,25.998,8.656788333,16.471,8.01688,0.006838333,13.02,6
7,hydro,169.192,49.58981157,0,0,0,0,14
7,other,126.786,0,0,0,0,0,3
7,wind,555.354,0,0,0,0,0,4
8,dfo,873.995,318.5209022,16.471,8.01688,0.011660571,435.27,7
8,hydro,438.699,124.0044745,0,0,0,0,59
8,ng,1755.352,569.7922191,6.993133333,4.736448,0.0056296,877.66,15
8,other,234.214,0,0,0,0,0,6
8,wind,343.446,0,0,0,0,0,5
9,dfo,105.479,36.01129698,16.471,8.01688,0.006610667,52.73,6
9,hydro,91.583,31.94907785,0,0,0,0,24
9,other,54.55,0,0,0,0,0,1
9,solar,57.285,0,0,0,0,0,13
9,wind,115,0,0,0,0,0,3
10,coal,459.2,189.18,6.55,8.01688,0.0155015,180.84,2
10,dfo,20.728,4.494052707,16.471,8.01688,0.007737,10.36,3
10,hydro,75.269,23.47530995,0,0,0,0,12
10,ng,1023.534,426.0540529,6.385,4.92399,0.006806667,403.38,3
10,solar,6.306,0,0,0,0,0,2
10,wind,26.007,0,0,0,0,0,1
11,dfo,7.674,1.821907103,16.471,8.01688,0.0076525,3.84,2
11,hydro,404.266,130.4350137,0,0,0,0,36
11,other,164.939,0,0,0,0,0,3
11,wind,159.293,0,0,0,0,0,2
12,coal,1118.928,212.4015606,3.011333333,8.01688,0.022285667,407.25,3
12,dfo,576.792,77.97475984,16.471,8.01688,0.0104194,227.81,5
12,ng,1453.783,463.4468116,7.065,4.720836923,0.005285692,726.9,13
12,other,23.554,0,0,0,0,0,1
12,solar,10.201,0,0,0,0,0,3
12,wind,51,0,0,0,0,0,3
12,wind_offshore,830,0,0,0,0,0,3
13,coal,400,80.52,2.711,8.01688,0.022719,143.33,1
13,dfo,575.638,171.9226929,16.471,8.01688,0.007713067,287.77,15
13,hydro,68.199,21.18999985,0,0,0,0,4
13,ng,2051.63,579.849965,5.79225,4.450615833,0.003725,925.39,12
13,other,40.69,0,0,0,0,0,1
14,dfo,637.199,233.4444255,16.471,8.01688,0.0119376,318.59,5
14,hydro,39.1,12.52999991,0,0,0,0,8
14,ng,1118.543,338.7035092,5.673222222,4.721215556,0.004333111,501.21,9
15,dfo,41.886,11.11502882,16.471,8.01688,0.008379,20.94,2
15,hydro,17,6.88999995,0,0,0,0,5
15,ng,194.203,63.89459771,5.6165,4.61023,0.0034275,97.08,6
15,other,63.181,0,0,0,0,0,1
15,wind,5,0,0,0,0,0,1
16,dfo,1545.468,423.3125582,16.471,8.01688,0.008696333,772.7,33
16,ng,796.297,362.6612093,5.6966,4.763454,0.0051618,365.67,5
16,nuclear,1888.898,821.6083885,1,8,0.0019,0,2
16,other,62.129,0,0,0,0,0,2
16,solar,10.08,0,0,0,0,0,1
